"","324","325","327","328","329","483","484","485","486","487","488","489","490","491","492","554","555","557","558","559","600","601","602","603","604","605","606","607","608","609"
"324",9.02497722892995e-07,7.31167968399661e-07,7.11448202213461e-07,7.41167343505831e-07,7.15018593797683e-07,7.10911185968804e-07,7.22377154479851e-07,7.21154063029923e-07,7.43192367089637e-07,7.27931938612641e-07,6.75266858002417e-07,7.35884865034393e-07,7.4475592634106e-07,7.23115748296327e-07,7.5183125260806e-07,7.65656238325809e-07,7.75653848172737e-07,7.33882626552127e-07,7.15138574664733e-07,6.74151464450697e-07,7.15596938470825e-07,7.29234554801634e-07,7.08603461309907e-07,7.26866872384355e-07,7.16127479087261e-07,7.46129678334859e-07,7.30102412663563e-07,7.48474299061066e-07,7.27872574332427e-07,7.15194146367699e-07
"325",7.31167968399661e-07,4.43424870476737e-08,1.06285742546249e-07,6.7124660006624e-08,8.31696555956884e-08,1.28781454878942e-07,8.24905988979985e-08,4.33634985879738e-08,5.91185225810652e-08,1.15615579516717e-07,2.03541339626144e-07,5.00755440301597e-08,4.84124502145722e-08,4.27604457068844e-08,4.48672376474777e-08,5.89102781794502e-08,6.87008943636936e-08,4.91804678774436e-08,9.83389823213967e-08,2.9963018710012e-07,8.05154061707377e-08,9.2824815407609e-08,1.04016418758784e-07,5.29983282948425e-08,6.63662977011779e-08,6.09417761474934e-08,1.00663045732909e-07,4.82707134028166e-08,4.61706423971397e-08,1.07408007715205e-07
"327",7.11448202213461e-07,1.06285742546249e-07,1.35629277197278e-07,1.32316489331959e-07,1.12139966103569e-07,1.34262355947369e-07,1.28756627377013e-07,1.03960267250058e-07,1.29904477169248e-07,1.53899644871737e-07,1.62492702611008e-07,1.11610747076626e-07,1.2385741762785e-07,9.5899385030848e-08,1.19747119008291e-07,1.38128654391333e-07,1.46627863781789e-07,1.17576971344183e-07,1.08646033075086e-07,2.61458053696132e-07,1.14993874344e-07,1.28386340550223e-07,1.32015048637405e-07,1.063595696997e-07,1.02277359877911e-07,1.31100709106485e-07,1.39080734690407e-07,1.16245436909885e-07,1.05740134941544e-07,1.29592972683214e-07
"328",7.41167343505831e-07,6.7124660006624e-08,1.32316489331959e-07,6.1363278790935e-08,1.02554699823201e-07,1.33733652955934e-07,7.72196326412049e-08,6.22632508736901e-08,4.90727812319935e-08,1.03834259930636e-07,2.19022067586232e-07,7.33401693491841e-08,5.3883798640312e-08,7.76425563693192e-08,7.87268517698125e-08,7.1816005190575e-08,8.40660832965113e-08,5.44971143118465e-08,1.24522085488425e-07,3.01518818874787e-07,9.50493442940723e-08,1.14058196137297e-07,1.14548412045664e-07,7.75110449642428e-08,9.73676149048519e-08,6.05148672698792e-08,1.0628251571284e-07,8.36428286815222e-08,6.6608338869585e-08,1.19323248665828e-07
"329",7.15018593797683e-07,8.31696555956884e-08,1.12139966103569e-07,1.02554699823201e-07,1.09383409966733e-07,1.25437850954576e-07,9.95925947346278e-08,7.50991538109507e-08,1.03260382441774e-07,1.19258572906027e-07,1.69857981394347e-07,9.16500181297993e-08,9.96797500753922e-08,7.56320195077248e-08,1.03596974925136e-07,1.20714832864451e-07,1.3081308388308e-07,8.94687807359248e-08,1.06891547631358e-07,2.57865009546108e-07,8.96755856715003e-08,1.11737223136651e-07,1.11859476321007e-07,8.47703715657403e-08,8.79339568285897e-08,1.06866987222585e-07,1.2070154761575e-07,1.00686037649237e-07,8.12498143572523e-08,1.17042819826476e-07
"483",7.10911185968804e-07,1.28781454878942e-07,1.34262355947369e-07,1.33733652955934e-07,1.25437850954576e-07,1.52620590130865e-07,1.26034657564483e-07,1.19308955517865e-07,1.35740944251526e-07,1.41202492431549e-07,1.50860480338011e-07,1.34781012067824e-07,1.37583334880874e-07,1.26125121042305e-07,1.49362989714118e-07,1.55975973385819e-07,1.67782844185763e-07,1.2922969522975e-07,1.33166329681078e-07,2.40449854703073e-07,1.22060103449399e-07,1.39713993229565e-07,1.34132080549935e-07,1.27069314185767e-07,1.2257059417277e-07,1.40955625560908e-07,1.43285615082688e-07,1.4868741596753e-07,1.2737380483143e-07,1.34771854915436e-07
"484",7.22377154479851e-07,8.24905988979985e-08,1.28756627377013e-07,7.72196326412049e-08,9.95925947346278e-08,1.26034657564483e-07,9.50337182457958e-08,6.96717464781249e-08,7.58647796404964e-08,1.00106590942464e-07,1.85470532365415e-07,9.09893299042384e-08,7.95501011747386e-08,8.75128670671655e-08,1.07871186056119e-07,1.05062575150241e-07,1.20851937446736e-07,7.28700678836259e-08,1.2518510629981e-07,2.60892257200676e-07,8.99641989284781e-08,1.16690209360089e-07,1.07965173855583e-07,8.65848354224932e-08,9.98281705582369e-08,8.65157810829355e-08,1.13848346832813e-07,1.10327053270394e-07,8.07007864199985e-08,1.16537764586783e-07
"485",7.21154063029923e-07,4.33634985879738e-08,1.03960267250058e-07,6.22632508736901e-08,7.50991538109507e-08,1.19308955517865e-07,6.96717464781249e-08,4.003724713469e-08,6.02769500184912e-08,1.01951887990395e-07,1.86255249701907e-07,5.65161633223533e-08,5.60035660198286e-08,4.40704869225039e-08,6.64832843830523e-08,7.8521857891035e-08,9.04924406733423e-08,4.77278607039243e-08,9.71266386305208e-08,2.78750055188951e-07,7.01326496676984e-08,9.39103035848041e-08,9.2536984829071e-08,5.27561349746453e-08,6.55731279483722e-08,6.6532140814891e-08,9.70024973561989e-08,6.70873111024872e-08,4.61811143180261e-08,1.02059249451086e-07
"486",7.43192367089637e-07,5.91185225810652e-08,1.29904477169248e-07,4.90727812319935e-08,1.03260382441774e-07,1.35740944251526e-07,7.58647796404964e-08,6.02769500184912e-08,3.9225698231424e-08,1.02412936256375e-07,2.27132317454297e-07,6.41589685606325e-08,3.84387457232536e-08,7.29376455243116e-08,6.98921918746768e-08,5.56047910675353e-08,7.21744594956982e-08,4.54188654683184e-08,1.22332332528181e-07,3.11015777139931e-07,9.51127879166767e-08,1.13399025924823e-07,1.17625475684647e-07,7.07781419721709e-08,9.38188693485341e-08,4.48764657607523e-08,1.00580177043641e-07,7.75077413800298e-08,6.23727865653064e-08,1.15349833763448e-07
